

[2019-12-13 21:04:58] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-13 21:41:28] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-14 11:53:31] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-14 13:36:46] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-14 15:15:53] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-14 21:22:44] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-14 22:58:15] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-14 22:58:51] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-14 23:07:52] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-15 09:10:59] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-15 09:24:12] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-15 09:24:54] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-15 09:27:34] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-15 09:27:55] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-15 09:29:05] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-15 09:32:28] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-15 10:32:26] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-15 11:30:53] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-15 12:00:22] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-15 14:01:08] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-15 15:42:38] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-15 15:46:57] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-15 15:47:53] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-15 16:48:27] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-15 16:48:54] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-15 16:49:52] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-15 16:50:11] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-15 16:50:42] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-15 17:17:01] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-15 17:19:40] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


